document,label
로스쿨 문제뿐만 아니라 유초중고대학까지 전반적인 교육개혁도 필요하다고 생각합니다이재명 대통령 임기내에 이뤄내기엔 부족한 시간입니다그럼에도 백년대계인 교육문제특히나 극한의 경쟁에 몰아넣는 우리나라 교육문제에대해 심각하게 고민해주셨으면 합니다 정부가 바뀌더라도 이런 문제들은 연속성있게 가져갔으면 합니다,긍정
국민이 대통령 건강을 걱정하는 분위기 따뜻하고 훈훈합니다,긍정
맞아요 대통령 건강하셔야 국민들이 걱정이 안되요,긍정
사법고시 부활 해야죠,긍정
증말 대단하다 어찌 이런 분이 나타나셨는지 김대중 노무현 문재인을 넘어선 세종과 정조를 이은 위대한 정치인이 되시길 바랍니다,긍정
경기도민입니다호남지역 적극지원에 절대적으로 찬성합니다예산 팍팍 지원해주시기 바랍니다인구 팍팍 늘게,긍정
사법시험과 로스클 46로 하자 개천에서도 용나도록하자,긍정
3년동안 대체 뭘한거냐 아까운 시간들 3주도 안된시간에 3년의시간을 넘어버리는 클라스 역시 이재명 대통령,긍정
붉은체크 남방셔츠 입은 분의 주장에 적극 공감한다 개천에 용난다는 호랭이 담배피던 말은 그만 하더라도 배고푼자가 그들의 심정을 알고 공정과 상식하에 법을 적용하리란 것은 삼척동자도 알수 있는 일디다 로스쿨과 사법고시를 병행할때 효과적일것 같다,긍정
이재명대통령 존재만으로도 감사합니다 대한민국의 축복입니다 건강 챙기십시요,긍정
건강은 중요시 하시길 바랍니다 국민들이 이재명이다 응원합니다 홧팅,긍정
저도 대통령님 안전과 건강 유의해 주셨으면 합니다,긍정
사법시험 제도 바꾸는것 찬성합니다 로스쿨 법대를 졸업한 자에 한하여 사법 시험을 자격이 주어지되 시험의 유형을 검사 판사변호사 세가지로 나누어서 분야마다 전문성을 키우도록 하고 최소한 10년 이상의 경력이 있어야만 다른 분야로 이직 시험을 자격을 주도록 합시다 사법시험 번의 통과만으로 검사가 되었다가 변호사도 되었다가 쉽게 쉽게 이동하지 못하도록 하는 제도 개선이 필요한데 의사도 전문 분야가 있듯이 법대부터 검사 변호사 판사시험 제도까지 전관예우 전후예우나 직업군 간의 이동을 쉽게 하지 못하도록 제도 개선을 빨리 해야한다고 생각합니다,긍정
건강하셔야합니다 응원합니다,긍정
국민의 사람으로 이제 뻗고 있겠습니다,긍정
대통령님의 행정력이 막힐때 마다 이렇게 공청회를 열어서 새로운 아이디어도 창출되고 좋을것 같습니다,긍정
대체 윤석열과 국짐은 일도 안하고 한거냐,긍정
내년 지빙선거는 끝났네 다른 지역은 다가셔도 되지만 대구는 제발 모른척 해주기길 빕니다 참고로 1찍 수성구민 입니다,긍정
사법시험 로스쿨 학비가 비싸다보니 빈익빈 부익부가 되어버리다보니,긍정
세종대왕정조대왕 우리의 세정재명,긍정
사법고시 부활 찬성합니다,긍정
시간이 가는게 아까워죽겠어요 계속 대통령 해주세요,긍정
대통령이 저럴수도 있구나 그냥 감동 자체다,긍정
시민분 옷깃에 태극기 뱃지가 있네 애국 시민이다,긍정
역시 이재명 대통령님 든든합니다,긍정
맞아요 대통령님 일을 하도 잘하고 계셔서 오직 건강만 걱정이니 영양식으로 꼬박꼬박 챙겨 드시길 원합니다 멋지십니다,긍정
요즘정부 일하는거 보니 스피드한 일처리 불필요한 소비 없이 외과수술형 행보 족집개형 세세한 틈바구니 마다 정치의 향기 가스며드는거 같아서 흐뭇하고 마음놓이고 뉴스 볼맛이 나네요 모두에게 감사할 따름이지요,긍정
옳은말씀 로스쿨반대 옛날처럼시험볼수 있도록 해주세요,긍정
반토막 났던 주식이 회복하는걸 보고 있노라면 요즘 달콤해요 갓재명 쵝오,긍정
제발 건강 좀챙겨주세요 제발 대통령님의 몸은 5200만의 몸입니다 건강은 자신하는것이 아닙니다,긍정
제발 쉬면서 진짜다,긍정
사법고시는 부활되어야 합니다 개천에서 나야 합니다,긍정
우리 이재명대통령형님 진심으로 고맙습니다,긍정
지금 왤케 좋으냐,긍정
사법고시 부활 국민여론조사를 해보면 어떨까요,긍정
이렇게 밝고 활기찬 우리대통령 든든합니다 언제나 건강하셰요,긍정
제가 드리고싶은 말씀입니다 건강챙기셔야합니다,긍정
로스쿨 관련 얘기하신분 건강도 신경써주시고 감사합니다발언전 대통령님께 인사하시고 자기소개 간단히 하신거 보기좋은 태도였습니다 칭찬드리고싶네요,긍정
이재명대통령 뽑았지요 우리국민이 신뢰하는 분이 일할수 있도록 강력지지하고 응원해야 합니다,긍정
어떤 분이 제안하신 국립 방송대에 로스쿨 개강하는 것에 찬성합니다,긍정
성남시장 시절 이분이 대통령이 되면 얼마나 좋을까 하고 상상했었는데 상상이 현실이 되어 앞에 펼쳐졌다 바로 이런 나라구나 나는 지금 앞으로가 기대되는 나라에 살고,긍정
이런 소원들 들어주려면 5년으로는 부족함 잼프가 10년은 해야 되야 될것 같음,긍정
제발 쉬어 가면서 일하세요,긍정
사법고시 부활 대찬성,긍정
로스쿨은 기득권이 본인 자녀들한테 직업 물려주기 위한 교육기관으로 변질된 오래 되었지 학벌 카르텔 없애려고 사법고시 폐지 했다고 실상은 로스쿨 서울대 로스쿨과 서울대 대학 로스쿨로 나뉘잖아 대학 나왔더라도 공부해서 시험에 응시할 기회를 줘야지 불공평하게 사다리를 아예 없애버리면 어떻게 하냐,긍정
많은분들이 기도하고 있어요 하루에 3번씩 자신기도는 빼먹어도 대통령 기도는 안빼먹는다고 그대로 표현한겁니다,긍정
옳소 사법고시 부활이 필요합니다 그래야 개천에서 용나오는 세상이 펼쳐져요 고시라는 제도가 있어야 없고 없는 사람도 희망을 품을 있습니다,긍정
이재명대통령 돌어오신 세종대왕,긍정
댓글중 잼길동에 동의합니다 잼통님 존경합니다 그래도 건강은 꼭챙겨주십시요 오천이백만국민의 통님이십니다,긍정
대한민국 대통령,긍정
솔직히 이재명정부에서 호남은 특별히 발전을 했으면 좋겠다 호남사람 아니지만 그동안 민주주의를 지킨것은 호남사람의 피값이 크다 대한민국 국민으로서 빚을 갚을 길은 호남지역 크게 발전 시켜주시길,긍정
이렇게 능력있는 사람 악마화하던 것들아 통하겠니,긍정
이재명이 역시다 역시,긍정
이재명은 합니다 대통령 이재명은 빠르게 합니다,긍정
47 평생 처음으로 존경할만한 분이 대통령이 되셨습니다,긍정
경기도에 살면서 뿌듯했는데 이젠 나라 전체에 선한 영향력을 미치네요,긍정
언제 광주까지,긍정
존경하는 대통령님오래오래 건강챙기면서 5년후에도 10년은 해주세요임기끝나도 성과가 넘좋아요답이랑해결책을 알고 실천주의라 감사하고 기쁩니다,긍정
살다보니까 민원을 살피시는 대통령 만났습니다 만만세입니다 저도 포항 살때는 몰랐는데 삼척시 시골에 전원생활 해보니까 민원 이란것이 살아가는데 주민들한떼 상당히 중요하다는것을 알았습니다 그때부터 경기도 민원 잘하시는 재명님 정조때 징을치면서 백성을 살핀다는 재명님 설명에 크게 감동받아서 재명님 지지했습니다 우리나라 저체적살림만잘살펴도 천지입니다 재명님 말씀대로 이장님 한테 말해도안되고 읍사무소가면 이장하고잘지내라하고 성질 나서 시장한테가니까 시장님은 구경도 못하고 비서실에서 해결 봤네요 대통령 존경합니다 인간적으로 민원 잘처리하도록 공무원들 힘쓰게하세요 너무감사하고 고맙습니다 대통령 힘없는 서민들 잘살펴주세요 있는분들이야 살기 좋은 우리나라죠 고생이 많으십니다 공무원들아무리 힘들다해도 그래도 국가월급 나오는 공무원입니다 일처리잘하시고 민원 잘경청하셔서 국민들 잘보살펴주세요 물론힘들겠지만 공무원분들은 그래도 안정된 직장입니다,긍정
이렇게 부지런한 대통령 전세계에 유일하다고 보는데 건강해야 많은 일을 하시리라 생각합니다 비서진들을 대통령님의 건강 특별히 챙겨주시기를 부탁드립니다,긍정
이야 전에 방송으로만 접했을때는 이미지가 대단히 좋지는 않앗는데 실재 일하는거 보니 대단하네요 멋져요 투표한 보람이 있어요,긍정
눈물나게 고맙다 이재명 대통령 화이팅,긍정
저는 목포에 살고 있습니다대통령님께서 이렇게 오셔서 전라도의 어려움을 들어주시니 참으로 감사합니다저희목포는 젊은이들이제대로된직장이 없어서 서울경기도로 떠나고 있습니다기업들이 들어와서 목포에 일자리가 생겨서 젊은이들과 더불어 살아갈수 있는 지역으로 발전시켜주시면 감사하겠습니다,긍정
대단하다 리더 한명이 나라를 순식간에 통합하고 일하게 만드네,긍정
정조 세종대왕 이재명 대통령님,긍정
강기정 시장님 다시는 광주시장 나오시지 마세요 도대체 시장되시고 하신일이 뭔지 단1도 생각이 안납니다 민주당은 다음 광주시장 대충대충 공천하면 안됩니다,긍정
진심으로 호남이 발전하기를 바랍니다 경상도만큼 인구도 늘어나길 바랍니다,긍정
이재명 대통령님 천대 받던 광주 시민의 위상을 올려주세요 국민 지역 차별 금지 법으로 정해 주세요,긍정
세종대왕의 현신 이재명 대통령님 화이팅,긍정
진심 우리대통령 건강 잘챙겨주십시요,긍정
강기정은 광주광역시 제대로 일처리안함 용전 패밀리랜드가는곳 몇년째 길막고 공사는 안하고 길만 막고 공사하는척만하고 지하철 안전 점검도 광주광역시 감사해봐야함 대체 시민들 돈을 어케 써먹는건지,긍정
역시 우리대통령 대단하십니다 존경합니다,긍정
이재명은 잘합니다,긍정
공항 문제 어떻게 했든 좋은데 제발 새때 쫓아내는 솔루션부터 찾읍시다 철새떼가 날라다니는 지역임으로 이에 대한 방비책이 필요합니다,긍정
대단하십니다 제가 끈질게 기도한 보람이 있습니다,긍정
광주에 언제 오셨대 군공항 이전합니까,긍정
정말로 획기적인 토론회였던것 같습니다 처음부터 보지는 못하고 중간부터 약30분정도 보았습니다만 대통령께서는 국토의 균형발전을 위하여 첫번째로서 광주 전남지역을 찿아가신것 같습니다 제가 답답했던것은 대통령은 지방 발전을 위하여 규제개혁 또는 재정지원등 대통령으로서 합법적으로 있는 것이라면 도와 드리려고는 하나 문제는 지자체장들이 무엇을 구체적으로 어떻게 도움을 받으면 되는지를 무엇이 지역발전을 위하여 필요한지를 구체적으로 고민한 적이 없는 같습니다 오히려 일반 시민들이 구체적인 문제점과 해결책등을 제시하는 토론회었던것 같습니다 진짜로 무엇땡순에 디자체 장이되려 했는지 반성해야만 합니다,긍정
강기정 광주시장님 정신 차리시고 열심히 해주세요 먹은 후엔 늦어요,긍정
부산시민입니다 우리대통령님 만세 해수부이전 빠른 속도전 멋지십니다,긍정
이재명 대통령 최고에요,긍정
건강챙기세요꼭,중립
이재명 대통령님 광주 발전을 위해 애써주세요 이재명 대통령님 사랑해요,긍정
하늘이 내려 주신 보물 우리 이재명 대통령님 20년만 주세요 제발,긍정
보좌진분들도 그렇지만 대통령님 054 체력이 안배되야 되는상황이니 푹쉬어주세요 감사드립니다 대한민국 화이팅입니다,긍정
강기정 시장님 보고 배우세요 광주 2호선은 도대체 공사 언제 끝납니까,긍정
노벨평화상 받는다에 손모가지 건다,긍정
광주는 부모가 살기엔 암울합니다 대통령님 육아 지원금이 1도 없습니다 상세 파악좀 해주세요,긍정
투표 효능감 10000 기분 좋다 주권은 국민에게 멋지다 뉴스 시청하는 즐거움,긍정
강기정 다음엔 안뽑을거다,긍정
이럴수가 대단한 대통령 입니다,긍정
우리 모두다 자랑스럽습니다,긍정
강기정요 당신은 시장이 아닌 구청장감요 하는것이 있어야지 담에는 나오지 마셈 민주당요 공천주지마셈 지발요,긍정
광주시 전남도지사 모두 바꿔라 강기정 목소리도 듣기싫다 무능해도 이렇게 무능하냐,긍정
이게 나라고나랏님이지정말 웅장해진다내 손이 자랑스럽구나,긍정
이재명 대통령은 손오공의 특기인 분신술을 하는 같다,긍정
광주 국제 공항 만들자,긍정
멧돼지강점기와 비교하는 것조차 송구스러울 정도로 압도적으로 하신다 대통령 자알 뽑았다,긍정
역시 이재명 대통령님이십니다 멋지십니다우리 대통령님 항상 건강하시고 행복하시길 기도합니다 홧팅,긍정
우리 대통령 감사합니다,긍정
광주 군공항 무안으로 국가가 해결 부탁드려요 좋아요,긍정
강기정 민주당후보로 나오면 안뽑느다,긍정
국가의 일을 하고 싶어서 대통령의 힘이 필요했다는 대통령님을 적극 응원합니다,긍정
이래서 이재명 이재명 햇구나,긍정
좋은 취지이고 답이 정해져 있는데 망설일 이유가 없죵 빠르게 진행시켜,긍정
보고 배워라 지자체장들도 속도 내라,긍정
세상에 이렇게 처와 소통하려고 하는 대통령님을 보게 되니까참감계무량입니다 부산 광주다 우리나라 중요 요지 아닙니까 기대가 됩니다,긍정
사랑하는 우리 대통령 옥체보전하시고 힘내셔서 우릴 행복하게 해주십시요 지금 저는 뿌듯합니다 대통령님이 우리나라 대통령님이 셔서 감사합니다 사랑합니다,긍정
광주는 지하철공사만 몇년을 질질끌고있고 계발을안하냐 도로좀 그만파고 일좀해라 시장님,긍정
강기정 능력없는 시장 시민은 나몰라하구 15층 아파트앞에 일조권조망권 무시 49층 아파트허가 시행사 돈먹었냐,긍정
다방면에서 유능하신분국민들이 뽑으신것 같해요최고에요,긍정
