document,label
Congrats to MSI!   Welcome to Vancouver!  Vancouver has Haidilao!,긍정
근대 스크림이 뭐에요?,"중립
"
나 다이어트라 라면 안먹는데 왕뚜껑 이벤트 2탄 기다리는 중~,긍정
"I""m always dizzy watching Faker's screen",부정
첫번째 대상혁아지르판에서 그마 챌린저들도 저런게임 역전당해서 지면 겜끝나고 나서 그래프창에서 서로 니가못해서졋네 누가못해서졋네 하면서 싸우나요? 궁금,부정
첫판 봤던건데 어디서 봤지 생방은 아닌데,중립
editor working triple OT with all these sound effects,부정
미래에서 왔습니다. 월즈 6번째 우승을 감축드리옵니다.,긍정
ㅋㅋㅋ상혁이형 아지르만하면 캠 지진나는거 개웃기네 진짜 ㅋㅋㅋ,긍정
마지막 퇴근할생각에 싱글벙글하는건가 ㅋㅋㅋㅋㅋㅋㅋ,긍정
정보) 3년전부터 떠난적이 없다.,"중립
"
FAKERRRTT,중립
미포 구르시엿네,부정
그런데 썸네일의 사진은 무슨 사진인가요???,"중립
"
미래에서 왔습니다. BLG랑 5꽉 사일 캐리로 우승합니다,긍정
원딜 구르시였네ㅋㅋㅋㅋ,긍정
페이커빼고 다 바꿔야함,부정
제발 설레발치지마 끝까지 의심하고 선행해 ㅠ,부정
황제 폐하를 뵙사옵니다,중립
므시에서 대상혁의 플레이는 므시므시할 것으로 예상됩니다.,중립
이번 대회 이기면 황제로 인정해 드림니다 ㅎㅣ히,긍정
돌아왔다기엔...매번갔자노,부정
밴쿠버왓다고? 상혁아...으디냐,부정
오늘 교통사고 당해서 액땸 했읍니다...,부정
썸넬존나잘생겼네진짜,긍정
"그리고 자를게 남아있는지 모르겠는 아지르는
뭔가 또 잘렸다",부정
우승은 못하잖슴~,"부정
"
썸네일 뭐야 왜케 잘생겼어..,긍정
퐁퐁닭님 기웃거리는거 다 알아요 나와주세요,부정
"Bro that sylas is a really good player managing to buffering Sylas E chain on faker""s R everytime props to him for being really skilled tbh xD",긍정
ㅎㅎ,긍정
마레에서 왔습니다 신조우사사게오,중립
대 상 혁,중립
오 나이스,긍정
대상혁,"중립
"
대 상 혁,중립
캬,중립
대상혁,중립
Legend,중립
대상혁,중립
대 상 혁,중립
대상혁,중립
대상혁 대황란 ㅎㅎㅎㅎㅎ 보기좋다,긍정
"처음부터 개웃기네 
황란:칭찬기대 대상혁:개판이구만",긍정
"서로 대상혁 대황란하면서 활짝 
ㅋㅋㅋㅋㅋ 귀엽다 귀여워",긍정
14:23 너무 귀엽네 ㅋㅋㅋㅋㅋ,긍정
우리혁 T1의 롤판에 살아있는전설...그자체 건강하게 오래게임해주면 좋겠다 🫶,긍정
"도란 웃는게 이쁘네 엄청 순수하고 해맑음. 그동안 맘 고생 심했을텐데 활짝 웃는거보니 기분좋네 
대상혁 대황란",긍정
황란이 예측하는거랑 상혁이 말하는 거랑 계속 서로 다른게 ㄹㅇ 웃기네 ㅋㅋㅋㅋㅋㅋㅋㅋ,긍정
뭔가 페스오는 화려하다기 보단 진짜 담백하게 잘하심,긍정
마지막에 서로 대상혁 대황란 하는거 왜이리 무해하고 귀엽냨ㅋㅋㅋㅋㅋㅋㅋㅋ,긍정
3:34 이야 큐쓰면서 궁쓰면 딜 들어가는 디테일 ㄷㄷ,중립
"대상혁!!! 므시 진출 축하해!!! 부산에서 이틀간 너무 행복했어ㅜㅜ
항상 응원해 우리혁!!!",긍정
도란 전부터 이름 지맘대로 부르는거 왤케웃기냐 ㅋㅋㅋㅋ 커스오 이러네,부정
"다들 야스오 q궁만 얘기하는데 당연히 대단한거지만 꽤 알려진거고 연습하면 엥간 할수있는건데
9:08 플e로 스킬 다피하며 오로라궁에 밀쳐서 > 튕겨나올 위치 예측해서 > 미니언 망치q로 딜박으면서 자르반궁 회피는 내가 롤을 10년 더해도 못할것같은 플레이다 진짜로",부정
요즘 디테일잡아주는거 넘 좋아요,긍정
"13:27 대황란 이퀄 칭찬
13:30 혼자찔린 란도 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
13:56 이게 도페야 ㄷㄷ
14:14 츤데레혁 극찬 
14:27 대상혁ㅎ 대황란ㅎㅎ","긍정
부정
중립
긍정
긍정"
둘이 캐미 진짜 흐뭇하네,긍정
"대황란 착각모먼트 ㅋㅋㅋㅋ 
칭찬하겠지? = 개판이네
좋았다(닉넴 두번찍) = 이퀄 잘못깔았다고 뭐라하는건가?",부정
상혁님 8번째 므시 진출 축하드려요! 올해도 좋은 기억 많이 만들고 돌아오시길. 계속 바쁜 스케쥴인데 건강 관리 잘하시고요!,긍정
ㅋㅋㅋ 페이커 도란 마지막에 개 귀엽네,긍정
9:08 여기 지리네 ㅋㅋㅋㅋㅋㅋ,긍정
도란 마지막에 웃는 거 ㅋㅋㅋ,긍정
도란은 유명한 페이커 팬임,중립
도란 페스오라 안하고 끝까지 커스오라 하는거 왤케 웃기냐 ㅋㅋㅋ,긍정
4:10 아니 이거 슬로우로 봐도 모르겠는데 한번에 캐치하네 대단하다,긍정
므시 진출 축하드려요 믿고 있었지..는 않았지만 이겨주셔서 감사합니다,긍정
"마지막 장면 해벌쭉 웃는게 왜 이렇게 귀엽냐...
남자보면서 귀엽다는 생각 진짜 첨해보네.
이런게 도며든다는건가...",긍정
4:15 야스오 유저 아니라 저런 콤보가 있는지도 몰랐음 저걸 또 캐치하네,중립
둘다 무해해서 보기 편하다 우리혁이랑 도란선수 화이팅이요,긍정
응원합니다,"긍정
"
사랑한다페,긍정
이런 영상 너무 좋습니다,"긍정
"
대상혁 대황란 귀여워 어쩔거야,긍정
대상혁 대황란 듀오 ㅋㅋ,중립
13:27 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,긍정
"빛상혁,MSI 진출을 추카추카 오늘도 숭배합니다","긍정
"
페이커형 사랑해,긍정
13:22 종나 웃기네 ㅋㅋㅋ,긍정
도란선수는 진짜 고점이 기대되는 선수임. 어떻게 고점 찍을지 예측이 안된다,긍정
대황란 무해하게 웃는거 진짜 귀엽네 ㅋㅋㅋㅋㅋㅋ,긍정
대상혁 대황란 수고했어요,긍정
진짜 편집 일 잘한다.. 보면서도 몰랐는데 리플로 집어주면서 설명해주니 너무좋앙 ㅠㅠ,긍정
T1 MSI 우승기원 개추 ㅋ,긍정
우리 혁이 머리 꽁지 하나 달린거 커엽네,긍정
9:07 신상혁...,중립
"내 기억으로는 T1 편집자가 옛날엔 겜볼줄 모르고 편집 완전 여초감성이어서 계속 보기 힘들었는데, 언제부턴가 겜 좀 볼줄알고 편집도 더 스타일리쉬해져서 보기 편해짐. 별로 안 오글거림.",긍정
"주인님~ 대상혁  므시건강히잘다녀오세요
화팅화팅",긍정
대황란 대상혁 ㅋㅋㅋㅋ,중립
대 상 혁,중립
4:10 정신 나간 디테일 ㄷ,부정
대상혁 대황란 솔랭에서 연속 3번 만나서 3연승 했다고한다,긍정
페이커 선수 므시진출 축하합니다,긍정
첫판 도란이 커스오가 한마디 햇을 거 같은데? 하니까 란방 시청자들이 대상혁이 개판이래 채팅 올라오는데 개웃겼음ㅋㅋ,긍정
"편집 좋았어요
신 상 혁",긍정
둘다 너무 귀여우신거아닙니까 :),긍정
마지막 설래네 ㅋ,긍정
"T1 화이팅!!!
페이커 화이팅!!!",긍정
둘다귀여워ㅠㅠ,긍정
0:56 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,긍정
킹상혁,중립
"야스오 최고 페스오 최고 

페지르 캐리하는 판 기다려요,, 그것도 디테일 알려주시겠지?
편집스타일 바뀐 게 잘 모르는 것도 알수있게끔 해줘서 좋다
마지막 졸귀 ㅋㅋ","긍정
"
페스오 커스오 대상혁 대황란!!,부정
와 야스오 큐궁은 또 처음 알았네 페이커는 게임 속에 항상 디테일이 숨어 있구나,중립
페스오! 페스오!,긍정
8:57 여기도 밀쳐서 타워 맞게하는거 지렸는데,긍정
"상혁아, 캐나다에서 재밌게 경기하고 므시 우승 하나 더 추가하자",긍정
14:25 대상혁,중립
13:28 아니 칭찬이라고요 이 양반아 ㅋㅋㅋㅋ,부정
바람같이 달려왔따 진짜,긍정
기다렸다고 대상혁!,긍정
9:08 플 써서 오로라 궁 경계에 밀쳐서 아군 잔나 쪽으로 배달시키는 디테일 뭐냐 진짜,중립
ㅋㅋㅋㅋㅋ. 커스오. 보통 페스오 아닌가요? 역시 도란님 뭔가 달라요~ 귀엽다,긍정
아니 요새 편집으로 디테일 잡아주시는거 좋네요 맛이 좋아요,긍정
"9:09 was absolutely disgusting, what a play.",부정
둘이 넘 귀엽다ㅋㅋ,긍정
3:33 that ult - Q buffer WOW,긍정
(페이)커스오라니 상상도못한 작명이었쟈나~ 하여간 란이는 은근 장꾸,긍정
실수로 줬네가 진짜 귀엽다..,긍정
일해라 빨리. 지금 도파민 충전 필요하다,부정
아 보기 좋다,긍정
4:25   .!!!!!  Wow,긍정
"0:22
'도'르코 ㅋㅋㅋㅋㅋ",부정
great video!,긍정
9:07 와 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,긍정
3:33 뒷q궁 디테일 ㄷㄷ,중립
므시 진출 축하드립니당,긍정
바람과 함께 경기력이 돌아와주셔서 감사합니다 ㅠㅠ,긍정
굿굿~ 기분 좋은 영상,"긍정
"
"3:32 와 q뒤로 쓰고 r 하니까 q 맞고 궁타지네 ㄷㄷ... 
여태 롤 하면서 처음 알았던 사실.. 디테일 미쳤다 진짜 대상혁!",긍정
편집 정망 굿이네요ㅎ 꿀팁에 재미요소까 계속 보러 올께요,긍정
편집 너무제밋게해ㅋㄱㅋ,부정
우승은 바람과도 같지... 늘 내곁에 있으니,중립
다시 봐도 재밌다 ㅋㅋㅋㅋㅋ 티원 므시 진출 축하축하!!!!!,긍정
대상혁! 오늘 유니폼 샀어요!,긍정
도란은 이름이랑 챔피언 같이말할때 마지막 글자를 따네 혁토르 커스오 ㅋㅋㅋㅋㅋㅋㅋ,중립
MSI 8회 진출 축하드려요! 꿀잠과 건강 잘 챙기세요!,긍정
탑미드 조합 미쳤다~ 너무 귀여워 ㅋㅋ,긍정
페스오는 못참지,부정
13:28 ㅋㅋㅋㅋㅋ 의심부터하네,"부정
"
페신,중립
우리혁,중립
대상혁대황란,중립
7:28 아니 도란 kda 무슨일이야,부정
대 상 혁,중립
FIGHTING!,긍정
사우디컵 마지막 세트 뜬금없는 페스오 픽은 충격이었다 진짜,부정
이 날 방송은 축복 그 자체였다!!!!!!,긍정
14:22 요약,"중립
"
세상에서  제일 무해한 두조합,"중립
"
3:33 여기 q궁이 ㄹㅇ 맛도린데,긍정
"rtm 티스코드 올려주세요.
야근 해주세요.",부정
3:33 crazy Q like pzzang,중립
상혁이의 탑키우기 시즌5 ㅋㅋㅋㅋ,긍정
므시 화이팅 우리혁,긍정
Holy the 4:15 trick. that's pretty fire wth?,긍정
티슬렁 티슬렁,중립
처음부터 황당하네 ㅋㅋㅋㅋㅋ,부정
대상혁 야스오.. 이건 귀하다.,"긍정
"
Deasang hyeok,부정
9:10 뭐냐 미래가 보이는거냐?,중립
뭐야 영상이다!!! 오예!!!!!,긍정
얘들 왜 이래!!! 넘 귀엽잖아 ㅋㅋㅋㅋ,긍정
대상혁,"중립
"
페냥이!!!ㅠㅜ,부정
9:06,중립
페스오는 귀하다,긍정
협곡의 이이 대상혁 ㅋㅋㅋㅋ란도식 개명,중립
축하드립니다. 고생많았어요,긍정
대상혁 대황란,중립
우리혁 언제나 페이커만 응원해!!!,긍정
협곡 이이와  최블 ㅎㅎㅎ 좋다 대상혁 대황란,긍정
12:18 카르마 무빙도 심상치 않다,"부정
"
상혁이형 ㅎㅇㅌ,긍정
대상혁 사랑해 진짜 ㅜㅜㅜ 너무고마워 감동이얌,긍정
3:33 그 짧은 순간에 qr ㄷㄷ,부정
3:34 I can't believe he knows that mechanic,"부정
"
09:08 이건 진짜 벽느껴진다;;,부정
ㅋㅋㅋㅋㅋㅋㅋ 재밌다,긍정
마지막에 대상혁 대황란 너무 귀엽잖아 ㅋㅋㅋㅋ,긍정
1:46 뭐지 데자뷰인가?,"중립
"
주인님 또 해주세요 끼잉끼잉,긍정
대상혁 대황란 넘 좋다,긍정
대상혁! 대황란!,"중립
"
므시 잘 다녀오세요 화이팅,긍정
진짜 애착인형 다됐네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,부정
NICE,긍정
"4:13 스오 유저 아니긴 한데 진짜 처음 앎 ㄷㄷㄷ


이런게 있구나 ㅈ댄다 진짜",부정
대상혁 이커씨,중립
03:32 야스오가 궁쓰기전에 허공 겉멋Q까지 ㄷㄷ 지디급 화려함,긍정
듈다 귀여워죽겠다ㅋㅋㅋㅋ,긍정
큐 궁이 있었오..? 미쳤네 편집자,부정
Anh già mãi đỉnh,긍정
페냥이ㅠㅠㅠㅠㅠㅠ,부정
Simplemente eres el mejor.,긍정
대씨의 케미!,긍정
4:10 q궁을 쓰는 것도 대단하고 q궁 쓴 걸 아는 것도 대단하네,긍정
G.O.A.T.,"긍정
"
페스오!! 고전파!!,긍정
대상혁 항상 응원합니다,"긍정
"
9:08 like wtf .......,부정
쟈크 잘한다,긍정
"Wow, I didn't know about the Yasuo Backward Q + Ult interaction. Thanks for the explanation and enjoyable video.",긍정
"페스오 X "" 커스오 ""
페토르 X "" 상토르 """,중립
캬,중립
신 혁 상,중립
GOD,중립
3:40 아 이거 섭섭한대요……,부정
도란 이기고 싶다고 하자마자 같은 팀 된 거 진짜 너무 웃기네 ㅋㅋㅋㅋㅋ 어쩔 수 없는 도페 운명..,긍정
"마지막 대상혁 대황란 호감모먼트 뭐야 ㅋㅋㅋ
msi ewc 파이팅 입니다.",긍정
티스코드 올려놔라,부정
3:33 wait you can do that????,부정
GOAT,긍정
"지나가던 야스오 원챔입니다.




그냥 지나가겠습니다.",중립
대상혁과 대황란이라... msi 기대가 됩니다 ㅎㅎ,긍정
9:08 뭐냐 이건...?,"중립
"
역시 대상혁 챔프폭이 엄청 넓은데도 장인급으로 잘한다 ㄷㄷ,긍정
상혁이형!!! MSI도 화이팅!!!!,긍정
My glorious king.... WORLDS 2025 WINNER,긍정
4:20 is it a bug?,중립
OMG,긍정
Msi진출 너무 축하해요 좋은성적있길,긍정
커스오 이이 상토르 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,부정
자크형 종하형인가? 잘한다,"긍정
"
9:07 was insane!!!!,긍정
"제짱이형 리뷰로 미리 봤어서
언제 올라오나 기다리고 있었던 대 스 오","긍정
"
"8:40 10:02 brilliant editing, editor",긍정
4:14 vivendo e aprendendo guys. vivendo e aprendendo.,중립
1:02 개판이구만 ㅋㅋㅋㅋ,부정
3:34 와 이렇게 q딜을 넣을수도 있구나 이런건 처음보는거 같은데,중립
0:56 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,긍정
귀여워~~~,긍정
NICE,긍정
마싰땅,중립
GOAT,긍정
