document,label
케리아 수고 많으셨어요 최고다 최고 아시안게임도 화이팅 월즈도 화이팅,중립
Keria miss,중립
블츠도 역시엄청잘함,중립
케리아 화이팅,중립
케리아 선수 T1이랑 같이해주세요,중립
Keria makes Blitz look so easy,중립
New follower here keria is Soo cute and handsome hope to see more videos,중립
아니 이번영상 왜이렇게 잘생겼냐,중립
그랩 미쳤다,중립
사랑애 류민석,중립
블랭까지 이렇게 하시다니 최고입니다 팀이 힘들때 최고의 변수를 만들 있는 블리츠크랭크도 이렇게 잘하신다면 어떤 팀을 가셔도 결점이 없을거 같네요 항상 멋진 모습 보여주시는데 이번 월즈에서도 한번 보여주세요 보고싶습니다 최고의 서폿 케리아선수 항상 응원하겠습니다 티원 화이팅,중립
역시 자칸상대로 블츠꼴픽박은 이유가 있었네,중립
케리아 월드 챔피언십 결승전에서 블리츠크랭크를 플레이해 보세요 T1 스킨을 블리츠크랭크 메인 스킨으로 사용하고 싶습니다,중립
케리아귀여워,중립
오늘꿈에서 케리아나왓어여,중립
아샨겜 롤드컵 화이팅,중립
케리아 잘생겼다,중립
케리아케리아널위한 케리아,중립
마공점 예측은 대체 뭐여,중립
his hair looks so nice rn,중립
Vn Vn chan ng yu qu,중립
케랴 화이팅 우서케 국서케 화이팅,중립
번째 게임의 LB는 PCS리그 PSG Maple 선수입니다,중립
케리아 귀여워 사랑해요,중립
GOAT OPPA KERIA,중립
GOD Blitz,중립
케리아님 혹시 벡스 서폿도 가능하신가욥,중립
내가 블츠 중에 제일 잘끔 이런 서폿 있으면 원딜이 못해도 킬을 하겠다,중립
love the title,중립
서면에서 케리아님 봤는데 직장 매니저님이랑 같이 가고있어서 싸인 받은 열받네요,중립
귀여워 뽀뽀,중립
아시안게임 롤드컵 먹어보자,중립
058 애쉬 끌려하신거같은데 아다리,중립
케랴라고 쓰고 역천괴라고 읽는 류민석 아샨게임,중립
원딜만 계속 끄는,중립
Hell yes,중립
yoink indeed,중립
fajne video dobrze grasz te gr,중립
원딜 포지션이 숟가락이긴 이런 서포터 만나면 편하긴 하겠네,중립
Keria mc mu mu hng xinh vi,중립
kuai dian qu ya yun hui de cheng shibu yao zai tuo la,중립
케리아 블츠만 그랩이 긴거같지,중립
,중립
민석아 종신하자 그냥,중립
아니 이걸 결승에서하지 결승에서 맨날 이상한 카르마 룰루,중립
다시봐고 멋진 모건 펜타 매너,중립
아니 T1 애들 영상 하도 봤더니 이젠 뭔가 친구같다 친근감은 뭐지,중립
모건 펜타 주는거 개쿨하네,중립
펜타 뺏어하면서 수다떠는 애들도 귀엽고 펜타주겠다고 살금살금 나오는 모건도 귀엽네,중립
대상혁 펜타 스틸 오더,중립
마지막에 구마유시 센터 차지하고 웃는거 귀엽닼,중립
페이커선수 펜타 뺏어뺏어 웃기네요,중립
펜타주는거 상남자네,중립
모건 리그에서 펜타 매너,중립
나미는 상황을 타고 가긴한건데 엄황 초반경기력 수준 미쳤다,중립
케리아 선수는 그의 서포트 플레이에 있어서 상대를 예측하고 격파하는 예리한 눈과 높은 전략적 통찰력을 보여주고 있습니다 그의 정확한 스킬 조합과 워드 배치는 팀에게 긍정적인 영향을 미치며 특히 치열한 대회에서 높은 성과를 이루어내고 있습니다 뿐만 아니라 그의 개성 넘치는 플레이 스타일은 팬들 사이에서 즐겁게 지지를 받으며 한국 리그오브레전드 씬에서 주목받는 주역으로 자리잡고 있습니다 그는 게임 내외에서 모범적인 모습을 보여주며 팬들과의 소통을 소중히 여기고 있습니다,중립
320 하늘에 떠서 몇대를 맞은건 아니잖아요,중립
모건 개쿨하네 히야,중립
0031 조보아 닮았네,중립
자화자찬 좋구요 예전 메라나 마타랑은 다를 캐리형 서폿 멋지잖아 서폿으로 캐리하는게 짜릿함 바드도 보여줬음 좋겠다 바드 좋은데,중립
구단주의 펜타 뺏어펜타뺏어 케리아 너무잘했고 두개가 재미있네,중립
프레딧브리온 브리온으로 명칭변경했어요 참고해주세용,중립
POG는 내껀데 펜타는 주라,중립
0030초 노래제목 알려주세오,중립
711 아칼리 긁는거 생각해서 미리 q떤지는 캐리아 미췄다 이게 서폿이지,중립
구마가 딴챔프는 기가 막히게 잘하는데 확실히 제리는 아쉽긴한듯 제리 개발자가 대회 나오게 만든다는 언급이 있어서 구마유시한테는 호재 롤드컵 2연우승 판은 깔렸다,중립
역시 선배님,중립
롤사사누 점점 말투가 자연스러워 지시네,중립
33초 쯤에 나오는 브금 정보 알수 있을까요,중립
누님 엔딩곡좀 알려주세요,중립
롤을 잘몰라서 그러는데 펜타 매너 해줬는데 저렇게 마지막에 상대방 본진 까지 가는건 괜찮은건가요,중립
pog로 이름 바뀌고는 첨인데 ogn시절 푸만두선수가 나미로 mvp받은적 있긴함 메자이가던 나미,중립
모건 펜타 매너 좋다,중립
일렉으러 시작하는 도입부 노래 제목이 뭔가요,중립
840초 부터 나오는 노래좀 알려주실수 있을까요,중립
오프닝 영상노래 사긴듯,중립
펜타 펜타 펜타 뺏어 뺏어 뺏어 현준아 펜타뺏어 펜타뺏어,중립
034 노래뭐임,중립
펜타 주는거 멋있네,중립
922,중립
케리아만 가능한거였네,중립
그와중에 오너 펜타 뺏으려고 쓰는거 개웃기네,중립
아니 나미를 저리 잘하는사람이 있노,중립
캐리아 귀엽당,중립
초반에 나온 노래 제목 혹시 아시는분,중립
펜타매너 낭만,중립
겜흐름 평타로만 가도 앰비션 팀이 승이쥐,중립
페이커는 펜타를 월즈 우승횟수로 하는편,중립
뺏어뺏어뺏어뺏어 현준아 펜타뺏어,중립
케리아가 나미를 엄청 잘하긴 했는데 다른 팀원들이 엄청 못한게 부각되는 경기영상같음 경기력 그대로 갔으면 롤드컵 우승은 무슨 8강딱 수준인데 역시 월즈의 티원은 다르다,중립
구마유시는 이때도 제리들고 듀오킬을 당했네,중립
구마유시 고로시 영상임,중립
펜타매너해주는 모건 탑의낭만,중립
와중에 페이커 펜타 뺏어,중립
펜타 뺏어,중립
나미는 비주류라 그런가,중립
펜타 뺏어야 했는데 아깝다,중립
제리 숙련도 실화냐,중립
이래도 준우승,중립
근데 둘다 되게 못했었네,중립
구마 제리 못하네,중립
